"id","town","county"
"29308","West Kilbride","Western Isles"
"29309","East Heslerton","North Yorkshire"
"29310","East Herrington","Durham"
"29311","East Herringthorpe","South Yorkshire"
"29312","East Hendred","Oxfordshire"
"29313","East Helmsdale","Highland"
"29314","Eastheath","Berkshire"
"29315","East Heckington","Lincolnshire"
"29316","East Hedleyhope","Durham"
"29317","East Haven","Angus"
"29318","East Hauxwell","North Yorkshire"
"29319","Easthaugh","Norfolk"
"29320","East Hatley","Cambridgeshire"
"29321","East Harting","West Sussex"
"29322","East Hatch","Wiltshire"
"29323","East Hartford","Northumberland"
"29324","East Harlsey","North Yorkshire"
"29325","East Harptree","Somerset"
"29326","East Harling","Norfolk"
"29327","East Hardwick","West Yorkshire"
"29328","East Hanningfield","Essex"
"29329","East Hanney","Oxfordshire"
"29330","Easthampton","Herefordshire"
"29331","Easthampstead","Berkshire"
"29332","East Ham","Northumberland"
"29333","Eastham","Merseyside"
"29334","Eastham Ferry","Merseyside"
"29335","East Hampnett","West Sussex"
"29336","Eastham","Merseyside"
"29337","East Halton Beck","Lincolnshire"
"29338","East Halton","Lincolnshire"
"29339","East Guldeford","East Sussex"
"29340","East Haddon","Northamptonshire"
"29341","East Hagbourne","Oxfordshire"
"29342","Easthall","Hertfordshire"
"29343","West Kensington","London"
"29344","West Keal","Lincolnshire"
"29345","West Kennett","Wiltshire"
"29346","East Grinstead","West Sussex"
"29347","East Grimstead","Wiltshire"
"29348","East Green","Suffolk"
"29349","East Grafton","Wiltshire"
"29350","East Green","Hampshire"
"29351","West Jesmond","Tyne and Wear"
"29352","West Itchenor","West Sussex"
"29353","East Gores","Essex"
"29354","East Goscote","Leicestershire"
"29355","East Glen","Lincolnshire"
"29356","East Ginge","Oxfordshire"
"29357","East Gateshead","Durham"
"29358","Eastgate","Norfolk"
"29359","Eastgate","Durham"
"29360","Eastgate","Cambridgeshire"
"29361","East Garston","Berkshire"
"29362","East Garforth","West Yorkshire"
"29363","East Fleet","Dorset"
"29364","East Firsby","Lincolnshire"
"29365","East Finglassie","Fife"
"29366","East Finchley","London"
"29367","East Fields","Berkshire"
"29368","Eastfield Hall","Northumberland"
"29369","Eastfield","Lanarkshire"
"29370","Eastfield","South Yorkshire"
"29371","Eastfield","North Yorkshire"
"29372","Eastfield","Scottish Borders"
"29373","Eastfield","Northumberland"
"29374","Eastfield","Cambridgeshire"
"29375","Eastfield","Bristol"
"29376","Westington","Gloucestershire"
"29377","Westing","Shetland Isles"
"29378","West Ilsley","Berkshire"
"29379","East Ferry","Lincolnshire"
"29380","East Fen Common","Cambridgeshire"
"29381","East Farndon","Northamptonshire"
"29382","East Farleigh","Kent"
"29383","East Ewell","Surrey"
"29384","East Everleigh","Wiltshire"
"29385","Eastertown","Somerset"
"29386","Easterton Sands","Wiltshire"
"29387","Easterton","Wiltshire"
"29388","Easter Softlaw","Scottish Borders"
"29389","Easter Quarff","Shetland Isles"
"29390","Easterside","Durham"
"29391","Easter Skeld","Shetland Isles"
"29392","Eastern Cleddau","Pembrokeshire/Sir Benfro"
"29393","Easter Meathie","Angus"
"29394","Easter Lednathie","Angus"
"29395","Easter Langlee","Scottish Borders"
"29396","Easter Knox","Angus"
"29397","Easter Kinsleith","Fife"
"29398","Easter Kinkell","Highland"
"29399","Easter Kilwhiss","Fife"
"29400","Easter Howgate","Midlothian"
"29401","West Ilkerton","Devon"
"29402","Easter Housebyres","Scottish Borders"
"29403","Easterhouse","Glasgow"
"29404","Easter Glen Quoich Burn","Highland"
"29405","Easter Essendy","Perth and Kinross"
"29406","Eastergate","West Sussex"
"29407","Easter Compton","Gloucestershire"
"29408","Easter Burn of Buster","Shetland Isles"
"29409","Easter Boleskine","Highland"
"29410","Easter Binzian","Perth and Kinross"
"29411","Easter Balmoral","Aberdeenshire"
"29412","Easter Balgedie","Perth and Kinross"
"29413","Easter Ardross","Highland"
"29414","Easter Aberchalder","Highland"
"29415","East End Green","Hertfordshire"
"29416","East End","North Yorkshire"
"29417","East End","Kent"
"29418","East End","Gloucestershire"
"29419","East End","North Yorkshire"
"29420","West Hythe","Kent"
"29421","West Hynish","Argyll and Bute"
"29422","West Hyde","Hertfordshire"
"29423","West Hurn","Dorset"
"29424","East End","Hampshire"
"29425","East End","Somerset"
"29426","East End","Gloucestershire"
"29427","Eastend","Essex"
"29428","East End","Buckinghamshire"
"29429","East End","Oxfordshire"
"29430","East End","Suffolk"
"29431","East End","Oxfordshire"
"29432","Eastend","Oxfordshire"
"29433","East End","Hertfordshire"
"29434","East End","Essex"
"29435","East End","Bedfordshire"
"29436","East End","Buckinghamshire"
"29437","East End","Oxfordshire"
"29438","East End","Bedfordshire"
"29439","East End","Hampshire"
"29440","East End","Dorset"
"29441","East End","Suffolk"
"29442","East End","Kent"
"29443","East End","Hampshire"
"29444","East End","Kent"
"29445","East End","Somerset"
"29446","East Ella","North Yorkshire"
"29447","East Dundry","Somerset"
"29448","East Dulwich","London"
"29449","East Drayton","Nottinghamshire"
"29450","Eastdown","Devon"
"29451","East Down","Devon"
"29452","Eastdon","Devon"
"29453","East Dereham","Norfolk"
"29454","East Didsbury","Manchester"
"29455","East Denton","Tyne and Wear"
"29456","East Denside","Angus"
"29457","East Dene","South Yorkshire"
"29458","East Dean","Gloucestershire"
"29459","East Dean","West Sussex"
"29460","East Dean","Hampshire"
"29461","East Dean","East Sussex"
"29462","East Dart","Devon"
"29463","East Croachy","Highland"
"29464","East Curthwaite","Cumbria"
"29465","East Creech","Dorset"
"29466","East Cranmore","Somerset"
"29467","East Cramlington","Northumberland"
"29468","East Cowick","North Yorkshire"
"29469","East Cowton","North Yorkshire"
"29470","West Huntspill","Somerset"
"29471","Westhumble","Surrey"
"29472","East Cowes","Isle of Wight"
"29473","Eastcourt","Wiltshire"
"29474","Eastcotts","Bedfordshire"
"29475","East Cottingwith","North Yorkshire"
"29476","West Howetown","Somerset"
"29477","Eastcott","Wiltshire"
"29478","Eastcott","Cornwall"
"29479","Eastcote Village","London"
"29480","Eastcote","London"
"29481","Eastcote","Northamptonshire"
"29482","Eastcote","West Midlands"
"29483","East Cornworthy","Devon"
"29484","East Compton","Dorset"
"29485","East Compton","Somerset"
"29486","East Common","North Yorkshire"
"29487","Eastcombe","Gloucestershire"
"29488","East Combe","Somerset"
"29489","East Coker","Somerset"
"29490","East Clyne","Highland"
"29491","East Clevedon","Somerset"
"29492","East Claydon","Buckinghamshire"
"29493","East Chisenbury","Wiltshire"
"29494","East Cholderton","Hampshire"
"29495","Eastchurch","Kent"
"29496","East Clandon","Surrey"
"29497","East Chinnock","Somerset"
"29498","East Chiltington","East Sussex"
"29499","East Chelborough","Dorset"
"29500","East Charleton","Devon"
"29501","East Challow","Oxfordshire"
"29502","East Chaldon (Chaldon Herring)","Dorset"
"29503","East Carlton","Northamptonshire"
"29504","East Carlton","West Yorkshire"
"29505","East Calder","West Lothian"
"29506","East Carleton","Norfolk"
"29507","Eastby","North Yorkshire"
"29508","East Butterwick","Lincolnshire"
"29509","East Butterleigh","Devon"
"29510","Eastbury","Berkshire"
"29511","Eastbury","London"
"29512","East Burton","Dorset"
"29513","East Burrafirth","Shetland Isles"
"29514","Eastburn","North Yorkshire"
"29515","East Burnham","Berkshire"
"29516","Eastburn","West Yorkshire"
"29517","East Budleigh","Devon"
"29518","East Buckland","Devon"
"29519","East Brora","Highland"
"29520","Eastbrook","Glamorgan/Morgannwg"
"29521","Eastbrook","Somerset"
"29522","East Briscoe","Durham"
"29523","East Bridgford","Nottinghamshire"
"29524","Eastbridge","Suffolk"
"29525","East Brent","Somerset"
"29526","East Bower","Somerset"
"29527","Eastbourne","Durham"
"29528","Eastbourne","East Sussex"
"29529","East Blatchington","East Sussex"
"29530","East Bloxworth","Dorset"
"29531","East Boldon","Tyne and Wear"
"29532","East Boldre","Hampshire"
"29533","West Howe","Dorset"
"29534","Westhouses","Derbyshire"
"29535","West Houses","Lincolnshire"
"29536","Westhouse","North Yorkshire"
"29537","West Houlland","Shetland Isles"
"29538","West Hougham","Kent"
"29539","Westhoughton","Lancashire"
"29540","West Horton","Northumberland"
"29541","West Horsley","Surrey"
"29542","East Bennan","Ayrshire"
"29543","East Bergholt","Suffolk"
"29544","East Bierley","West Yorkshire"
"29545","East Bilney","Norfolk"
"29546","East Blackdene","Durham"
"29547","West Horrington","Somerset"
"29548","Westhorpe","Lincolnshire"
"29549","Westhorpe","Nottinghamshire"
"29550","Westhorpe","Suffolk"
"29551","Westhorp","Northamptonshire"
"29552","West Horndon","Essex"
"29553","Westhope","Herefordshire"
"29554","East Bedfont","London"
"29555","East Beckham","Norfolk"
"29556","East Beach","West Sussex"
"29557","East Barton","Suffolk"
"29558","East Barsham","Norfolk"
"29559","East Barnet","London"
"29560","East Barnby","North Yorkshire"
"29561","East Barming","Kent"
"29562","East Barkwith","Lincolnshire"
"29563","East Bank","Blaenau Gwent/Blaenau Gwent"
"29564","East Balmirmer","Angus"
"29565","East Ayton","North Yorkshire"
"29566","East Aston","Hampshire"
"29567","East Ardsley","West Yorkshire"
"29568","East Ashling","West Sussex"
"29569","East Appleton","North Yorkshire"
"29570","East Anton","Hampshire"
"29571","East Anstey","Devon"
"29572","East Allington","Devon"
"29573","East Allen","Northumberland"
"29574","East Adderbury","Oxfordshire"
"29575","East Acton","London"
"29576","Eastacott","Devon"
"29577","Eastacombe","Devon"
"29578","East Aberthaw","Glamorgan/Morgannwg"
"29579","Eas Socach","Highland"
"29580","Eassie","Angus"
"29581","Eason's Green","East Sussex"
"29582","Easingwold","North Yorkshire"
"29583","Easington Lane","Durham"
"29584","Easington Colliery","Durham"
"29585","Easington Beck","North Yorkshire"
"29586","Easington","North Yorkshire"
"29587","Easington","Lancashire"
"29588","Easington","West Yorkshire"
"29589","Easington","Durham"
"29590","Easington","Oxfordshire"
"29591","Easington","Buckinghamshire"
"29592","Easington","Oxfordshire"
"29593","Eashing","Surrey"
"29594","Easenhall","Warwickshire"
"29595","Easebourne","West Sussex"
"29596","Eas Dubh","Argyll and Bute"
"29597","Easdale","Argyll and Bute"
"29598","Eas Daimh","Perth and Kinross"
"29599","Easby","North Yorkshire"
"29600","Eas a' Chais","Argyll and Bute"
"29601","Earthcott Green","Gloucestershire"
"29602","Eartham","West Sussex"
"29603","Earswick","North Yorkshire"
"29604","Earsham Street","Suffolk"
"29605","Earsham","Norfolk"
"29606","Earshader","Western Isles"
"29607","Earsdon","Tyne and Wear"
"29608","Earsary","Western Isles"
"29609","Earnshaw Bridge","Lancashire"
"29610","Earnock","Lanarkshire"
"29611","Earnley","West Sussex"
"29612","Earn","Perth and Kinross"
"29613","Earlswood","Monmouthshire/Sir Fynwy"
"29614","Earlswood","Warwickshire"
"29615","Earlswood","Surrey"
"29616","Earlstone Common","Hampshire"
"29617","Earl Stoneham","Suffolk"
"29618","Earlston","Scottish Borders"
"29619","Earlston","Ayrshire"
"29620","Earl Soham","Suffolk"
"29621","Earl Sterndale","Derbyshire"
"29622","Earl Shilton","Leicestershire"
"29623","Earlsheaton","West Yorkshire"
"29624","Earl's Green","Suffolk"
"29625","Earlsfield","Lincolnshire"
"29626","Earlsfield","London"
"29627","Earlsferry","Fife"
"29628","Earl's Down","East Sussex"
"29629","Earl's Croome","Worcestershire"
"29630","Earlsdon","West Midlands"
"29631","Earl's Court","London"
"29632","Earl's Common","Worcestershire"
"29633","Earls Colne","Essex"
"29634","Earls Barton","Northamptonshire"
"29635","Earlish","Highland"
"29636","Earlham","Norfolk"
"29637","Earley","Berkshire"
"29638","Earlestown","Merseyside"
"29639","Earith","Cambridgeshire"
"29640","Eardiston","Shropshire"
"29641","Eardiston","Worcestershire"
"29642","Eardisley","Herefordshire"
"29643","Eardisland","Herefordshire"
"29644","Eardington","Shropshire"
"29645","Earcroft","Lancashire"
"29646","Earby Beck","North Yorkshire"
"29647","Earby","Lancashire"
"29648","Eamont Bridge","Cumbria"
"29649","Eamont","Cumbria"
"29650","Eals, The","Northumberland"
"29651","Eals","Northumberland"
"29652","Ealing","London"
"29653","Ealand","Lincolnshire"
"29654","Eakring","Nottinghamshire"
"29655","Eairy","Isle of Man"
"29656","Eagley","Lancashire"
"29657","Eagle Tor","Derbyshire"
"29658","Eaglethorpe","Northamptonshire"
"29659","Eaglestone","Buckinghamshire"
"29660","Eaglesham","Renfrewshire"
"29661","Eaglesfield","Cumbria"
"29662","Eaglesfield","Dumfries and Galloway"
"29663","Eaglescliffe","Durham"
"29664","Eagle Barnsdale","Lincolnshire"
"29665","Eagle","Lincolnshire"
"29666","Eagland Hill","Lancashire"
"29667","Eachwick","Northumberland"
"29668","Each End","Kent"
"29669","Eachway","Worcestershire"
"29670","Eachaig","Argyll and Bute"
"29671","Eabost West","Highland"
"29672","Eabost","Highland"
"29673","E","Highland"
"29674","Dyserth","Denbighshire/Sir Ddinbych"
"29675","Dysynni","Gwynedd/Gwynedd"
"29676","Westhope","Shropshire"
"29677","Dysart","Fife"
"29678","Dyrham","Gloucestershire"
"29679","Dymock","Gloucestershire"
"29680","Dymchurch","Kent"
"29681","Dylife","Powys/Powys"
"29682","Dykeside","Aberdeenshire"
"29683","Dykehead","Lanarkshire"
"29684","Dykehead","Angus"
"29685","Dykehead","Stirling"
"29686","Dyke","Highland"
"29687","Dyke","Lincolnshire"
"29688","Dyke","Moray"
"29689","Dyfrdwy","Gwynedd/Gwynedd"
"29690","Dyfi","Gwynedd/Gwynedd"
"29691","Dyfi","Powys/Powys"
"29692","Dyffryn Cellwen","Neath Port Talbot"
"29693","Dyffryn-bern","Cardiganshire/Ceredigion"
"29694","Dyffryn Ardudwy","Gwynedd/Gwynedd"
"29695","Dyffryn (Valley)","Anglesey/Sir Fon"
"29696","Dyffryn","Glamorgan/Morgannwg"
"29697","Dyffryn","Carmarthenshire/Sir Gaerfyrddin"
"29698","Dyffryn","Pembrokeshire/Sir Benfro"
"29699","Dyffryn","Cardiganshire/Ceredigion"
"29700","Dyer's Green","Cambridgeshire"
"29701","Dye House","Northumberland"
"29702","Dyer's Common","Gloucestershire"
"29703","Dyche","Somerset"
"29704","Dyce","Aberdeenshire"
"29705","Dwyryd","Gwynedd/Gwynedd"
"29706","Dwyrhiw","Powys/Powys"
"29707","Dwyran","Anglesey/Sir Fon"
"29708","Dwygyfylchi","Conwy/Conwy"
"29709","Dwyfor","Gwynedd/Gwynedd"
"29710","Dwyfach","Gwynedd/Gwynedd"
"29711","Duxmoor","Shropshire"
"29712","Duxford","Oxfordshire"
"29713","Duxford","Cambridgeshire"
"29714","Dutton","Cheshire"
"29715","Dutson","Cornwall"
"29716","Duton Hill","Essex"
"29717","Dutlas","Powys/Powys"
"29718","Duthil","Highland"
"29719","Dutch Village","Essex"
"29720","Dutch River","Lincolnshire"
"29721","Dutchmans Cap (Bac Mor)","Argyll and Bute"
"29722","Duston","Northamptonshire"
"29723","Duryard","Devon"
"29724","Dury","Shetland Isles"
"29725","Durweston","Dorset"
"29726","Durston","Somerset"
"29727","Dursley Cross","Gloucestershire"
"29728","Dursley","Wiltshire"
"29729","Dursley","Gloucestershire"
"29730","Durris Ho","Aberdeenshire"
"29731","Durrisdale","Orkney"
"29732","Durrington-on-Sea Sta","West Sussex"
"29733","Durrington","West Sussex"
"29734","Durrington","Wiltshire"
"29735","Durrants","Hampshire"
"29736","Durrant Green","Kent"
"29737","Duror","Highland"
"29738","Durns Town","Hampshire"
"29739","Durno","Aberdeenshire"
"29740","Durnfield","Somerset"
"29741","Durness","Highland"
"29742","Durnamuck","Highland"
"29743","Durn","Lancashire"
"29744","Durlston Head","Dorset"
"29745","Durlow Common","Herefordshire"
"29746","Durlock","Kent"
"29747","Durley Street","Hampshire"
"29748","Durley","Wiltshire"
"29749","Durley","Hampshire"
"29750","Durleighmarsh","West Sussex"
"29751","Durleigh Brook","Somerset"
"29752","Durleigh","Somerset"
"29753","Durkar","West Yorkshire"
"29754","Durham","Durham"
"29755","Durisdeer","Dumfries and Galloway"
"29756","Durisdeermill","Dumfries and Galloway"
"29757","Durgates","East Sussex"
"29758","Durgan","Cornwall"
"29759","Durdar","Cumbria"
"29760","Dunwood","Staffordshire"
"29761","Dunwich River","Suffolk"
"29762","Dunwich","Suffolk"
"29763","Dunwear","Somerset"
"29764","Dunveth","Cornwall"
"29765","Dunvegan","Highland"
"29766","Dunvant","Swansea"
"29767","Dunure","Ayrshire"
"29768","Duntulm","Highland"
"29769","Dunton Patch","Norfolk"
"29770","Dunton Green","Kent"
"29771","Dunton Bassett","Leicestershire"
"29772","Dunton","Norfolk"
"29773","Dunton","Buckinghamshire"
"29774","Dunton","Bedfordshire"
"29775","Duntocher","Dunbartonshire"
"29776","Duntish","Dorset"
"29777","Duntisbourne Rouse","Gloucestershire"
"29778","Duntisbourne Leer","Gloucestershire"
"29779","Duntisbourne Abbots","Gloucestershire"
"29780","Dunthrop","Oxfordshire"
"29781","Dunterton","Devon"
"29782","Dunsyre","Lanarkshire"
"29783","Dunswell","North Yorkshire"
"29784","Dunsville","South Yorkshire"
"29785","Dunston Hill","Durham"
"29786","Dunston Heath","Staffordshire"
"29787","Dunstone","Devon"
"29788","Dunston","Norfolk"
"29789","Dunston","Staffordshire"
"29790","Dunston","Lincolnshire"
"29791","Dunston","Derbyshire"
"29792","Dunston","Durham"
"29793","Duns Tew","Oxfordshire"
"29794","Dunster","Somerset"
"29795","Dunstan","Northumberland"
"29796","Dunstall Hill","Staffordshire"
"29797","Dunstall Green","Suffolk"
"29798","Dunstall Common","Worcestershire"
"29799","Dunstall","Staffordshire"
"29800","Dunstal","Staffordshire"
"29801","Dunstable","Bedfordshire"
"29802","Dunsop Bridge","Lancashire"
"29803","Dunsmore","Buckinghamshire"
"29804","Dunsmore","Warwickshire"
"29805","Dunsley","North Yorkshire"
"29806","Dunslea","Cornwall"
"29807","Dunsley","Staffordshire"
"29808","West Holywell","Tyne and Wear"
"29809","West Holme","Dorset"
"29810","West Hoathly","West Sussex"
"29811","Dunsill","Nottinghamshire"
"29812","Dunshalt","Fife"
"29813","Dunsford","Devon"
"29814","Dunsford","Surrey"
"29815","Dunsfold Green","Surrey"
"29816","Dunsfold Common","Surrey"
"29817","Dunsden Green","Oxfordshire"
"29818","Dunsdale","West Yorkshire"
"29819","Dunscroft","South Yorkshire"
"29820","Dunscore","Dumfries and Galloway"
"29821","Dunscar","Lancashire"
"29822","Dunsa","Derbyshire"
"29823","Dunsby","Lincolnshire"
"29824","Duns","Scottish Borders"
"29825","Dunrostan","Argyll and Bute"
"29826","Dunoon","Argyll and Bute"
"29827","Dunragit","Dumfries and Galloway"
"29828","Dunollie","Argyll and Bute"
"29829","Dunn Street","Kent"
"29830","Dunnsheath","Shropshire"
"29831","Dunnose","Isle of Wight"
"29832","Dunnockshaw","Lancashire"
"29833","Dunningwell","Cumbria"
"29834","Dunnington","North Yorkshire"
"29835","Dunnington","Warwickshire"
"29836","Dunning","Perth and Kinross"
"29837","Dunnikier","Fife"
"29838","Dunnichen","Angus"
"29839","Dunnet Head","Highland"
"29840","Dunnet","Highland"
"29841","Dunnerholme","Cumbria"
"29842","Dunmore","Stirling"
"29843","Dunmore","Highland"
"29844","Dunmere","Cornwall"
"29845","Dunlop","Ayrshire"
"29846","Dunley","Hampshire"
"29847","Dunks, The","Wrexham"
"29848","Dunley","Worcestershire"
"29849","Dunk's Green","Kent"
"29850","Dunkirk","Cheshire"
"29851","Dunkirk","Norfolk"
"29852","Dunkirk","Nottinghamshire"
"29853","Dunkirk","Staffordshire"
"29854","Dunkirk","Kent"
"29855","Dunkirk","Wiltshire"
"29856","Dunkirk","Gloucestershire"
"29857","Dunkeswell","Devon"
"29858","Dunkeswick","West Yorkshire"
"29859","Dunkirk","Cambridgeshire"
"29860","Dunkerton","Somerset"
"29861","Dunkenny","Angus"
"29862","Dunkeld","Perth and Kinross"
"29863","Dunira","Perth and Kinross"
"29864","Dunino","Fife"
"29865","Dunipace","Stirling"
"29866","Dunhum-On-The-Hill","Cheshire"
"29867","Dunholme","Lincolnshire"
"29868","Dunham Woodhouses","Manchester"
"29869","Dunham Town","Manchester"
"29870","Dunhampton","Worcestershire"
"29871","Dunhampstead","Worcestershire"
"29872","Dunham on Trent","Nottinghamshire"
"29873","Dungworth","South Yorkshire"
"29874","Dungeness","Kent"
"29875","Dunge","Wiltshire"
"29876","Dungate","Kent"
"29877","Dun Gainmhich","Western Isles"
"29878","Dunfield","Wiltshire"
"29879","Dunford Bridge","South Yorkshire"
"29880","Dunfermline","Fife"
"29881","Dunecht","Aberdeenshire"
"29882","Duneaton Water","Lanarkshire"
"29883","Dunduff","Perth and Kinross"
"29884","Dundyvan","Lanarkshire"
"29885","Dundry","Somerset"
"29886","Dundridge","Hampshire"
"29887","Dundrennan","Dumfries and Galloway"
"29888","Dundraw","Cumbria"
"29889","Dundonnell","Highland"
"29890","Dundon Hayes","Somerset"
"29891","Dundonald","Fife"
"29892","Dundon","Somerset"
"29893","Dundonald","Ayrshire"
"29894","Dundeugh","Dumfries and Galloway"
"29895","Dundee","Dundee"
"29896","Duncton","West Sussex"
"29897","Duncrievie","Perth and Kinross"
"29898","Duncow","Dumfries and Galloway"
"29899","Duncote","Northamptonshire"
"29900","Duncombe","Lancashire"
"29901","Dun Colbost","Highland"
"29902","Dunchurch","Warwickshire"
"29903","Dunchideock","Devon"
"29904","Duncanstone","Aberdeenshire"
"29905","Duncanston","Highland"
"29906","Duncansclett","Shetland Isles"
"29907","Duncansby Head","Highland"
"29908","Dunbridge","Hampshire"
"29909","Dun Boreraig","Highland"
"29910","Dunblane","Stirling"
"29911","Dunbog","Fife"
"29912","Dunbeg","Argyll and Bute"
"29913","Dunbeath Water","Highland"
"29914","Dunbeath","Highland"
"29915","Dunbar","East Lothian"
"29916","Dunans","Argyll and Bute"
"29917","Dunball","Somerset"
"29918","Dunamuck","Argyll and Bute"
"29919","Dunan","Highland"
"29920","Dunandhu","Aberdeenshire"
"29921","Dunalastair","Perth and Kinross"
"29922","Dun","Angus"
"29923","Dun","Western Isles"
"29924","Dumpton","Kent"
"29925","Dumpling Green","Norfolk"
"29926","Dumplington","Manchester"
"29927","Dumpinghill","Devon"
"29928","Dumgoyne","Stirling"
"29929","Dummer","Hampshire"
"29930","Dumpford","West Sussex"
"29931","Dumfries","Dumfries and Galloway"
"29932","Dumcrieff","Dumfries and Galloway"
"29933","Dumbreck","Glasgow"
"29934","Dumbleton","Gloucestershire"
"29935","Dumbarton","Dunbartonshire"
"29936","Dulwich Village","London"
"29937","Dulwich","London"
"29938","Dulverton","Somerset"
"29939","Duloe","Bedfordshire"
"29940","Duloe","Cornwall"
"29941","Duloch","Fife"
"29942","Dulnain Bridge","Highland"
"29943","Dulnain","Highland"
"29944","Dullingham Ley","Cambridgeshire"
"29945","Dull","Perth and Kinross"
"29946","Dullatur","Lanarkshire"
"29947","Dullingham","Cambridgeshire"
"29948","Dulford","Devon"
"29949","Dulcote","Somerset"
"29950","Dulas","Anglesey/Sir Fon"
"29951","Dulas","Powys/Powys"
"29952","Dulas","Conwy/Conwy"
"29953","Dulain","Highland"
"29954","Dukinfield","Manchester"
"29955","Dukestown","Blaenau Gwent/Blaenau Gwent"
"29956","Dukesfield","Northumberland"
"29957","Duke End","Warwickshire"
"29958","Duisky","Highland"
"29959","Duisk","Ayrshire"
"29960","Duisdalemore","Highland"
"29961","Duirinish","Highland"
"29962","Duich","Argyll and Bute"
"29963","Duggleby","North Yorkshire"
"29964","Duhonw","Powys/Powys"
"29965","Dufton","Cumbria"
"29966","Duffus","Moray"
"29967","Dufftown","Moray"
"29968","Duffryn","Newport"
"29969","Duff's Hill","Aberdeenshire"
"29970","West Hills","Angus"
"29971","Westhill","Aberdeenshire"
"29972","West Hill","Staffordshire"
"29973","West Hill","North Yorkshire"
"29974","Westhill","North Yorkshire"
"29975","West Hill","Somerset"
"29976","West Hill","Wiltshire"
"29977","West Hill","London"
"29978","Westhill","Highland"
"29979","West Hill","East Sussex"
"29980","West Hill","Devon"
"29981","West Hill","West Sussex"
"29982","Duffryn","Shropshire"
"29983","Duffryn","Neath Port Talbot"
"29984","West Hill","Somerset"
"29985","Duffieldbank","Derbyshire"
"29986","Duffield","Derbyshire"
"29987","Duerley Beck","North Yorkshire"
"29988","Duerdon","Devon"
"29989","Dudwells","Pembrokeshire/Sir Benfro"
"29990","Dudswell","Hertfordshire"
"29991","Dudsbury","Dorset"
"29992","Dudonnell River","Highland"
"29993","Dudley Wood","West Midlands"
"29994","Dudlows Green","Cheshire"
"29995","Dudley's Fields","Staffordshire"
"29996","Dudley Port","West Midlands"
"29997","Dudley Hill","West Yorkshire"
"29998","Dudley","Tyne and Wear"
"29999","Dudley","West Midlands"
"30000","Dudleston Grove","Shropshire"
"30001","Dudleston Heath (Criftins)","Shropshire"
"30002","Dudleston","Shropshire"
"30003","Duddon Bridge","Cumbria"
"30004","Duddon Common","Cheshire"
"30005","Duddon","Cheshire"
"30006","Duddon","Cumbria"
"30007","Duddleswell","East Sussex"
"30008","Duddlewick","Shropshire"
"30009","Duddo","Northumberland"
"30010","Duddlestone","Somerset"
"30011","Duddington","Northamptonshire"
"30012","Duddingston","Edinburgh"
"30013","Duddenhoe End","Essex"
"30014","Dudden Hill","London"
"30015","Dudbridge","Gloucestershire"
"30016","Duckswich","Worcestershire"
"30017","Ducks Island","London"
"30018","Duckmanton","Derbyshire"
"30019","Ducklington","Oxfordshire"
"30020","Duckington","Cheshire"
"30021","Duckhole","Gloucestershire"
"30022","Duckend Green","Essex"
"30023","Duck End","Essex"
"30024","Duck End","Buckinghamshire"
"30025","Duck End","Essex"
"30026","Duck End","Cambridgeshire"
"30027","Duck End","Bedfordshire"
"30028","Duck Corner","Suffolk"
"30029","Duchray Water","Stirling"
"30030","Dubwath","Cumbria"
"30031","Dubs Burn","Ayrshire"
"30032","Dublin","Suffolk"
"30033","Dubh Lighe","Highland"
"30034","Dubh Eilean","Argyll and Bute"
"30035","Dubh Artach","Argyll and Bute"
"30036","Dubford","Aberdeenshire"
"30037","Dubbs Cross","Devon"
"30038","Dryton","Shropshire"
"30039","Dry Street","Essex"
"30040","Dry Sandford","Oxfordshire"
"30041","Dryslwyn","Carmarthenshire/Sir Gaerfyrddin"
"30042","West Hewish","Somerset"
"30043","West Heslerton","North Yorkshire"
"30044","West Herrington","Durham"
"30045","Drynoch","Highland"
"30046","Drynie Park","Highland"
"30047","Drym","Cornwall"
"30048","Drymen","Stirling"
"30049","Drymere","Norfolk"
"30050","Drymuir","Aberdeenshire"
"30051","Drynham","Wiltshire"
"30052","Drylaw","Edinburgh"
"30053","Dryhope","Scottish Borders"
"30054","Dryhill","Kent"
"30055","Dry Hill","Hampshire"
"30056","Dryfe Water","Dumfries and Galloway"
"30057","West Heogaland","Shetland Isles"
"30058","West Hendred","Oxfordshire"
"30059","Dry Drayton","Cambridgeshire"
"30060","Dry Doddington","Lincolnshire"
"30061","Dryden","Scottish Borders"
"30062","Dry Burn","Northumberland"
"30063","Dryburgh","Scottish Borders"
"30064","Drybrook","Gloucestershire"
"30065","Drybridge","Ayrshire"
"30066","Drybeck","Cumbria"
"30067","Drybridge","Moray"
"30068","Drury Square","Norfolk"
"30069","Drury Lane","Wrexham"
"30070","Drurylane","Norfolk"
"30071","Drury","Flintshire/Sir Fflint"
"30072","Drumvaich","Stirling"
"30073","Drumuillie","Highland"
"30074","Drumuie","Highland"
"30075","Drumry","Dunbartonshire"
"30076","Drumsleet","Dumfries and Galloway"
"30077","Drumsmittal","Highland"
"30078","Drumsturdy","Angus"
"30079","West Hendon","London"
"30080","Drummuie","Highland"
"30081","Drummuir","Moray"
"30082","Drummygar","Angus"
"30083","Drumnadrochit","Highland"
"30084","Drumnagorrach","Moray"
"30085","Drumoak","Aberdeenshire"
